	16_S3.tab	17_S4.tab	18_S1.tab	19_S2.tab	21_S3.tab	23_S3.tab	24_S2.tab	27_S1.tab	28_S4.tab	30_S3.tab	34_S1.tab	35_S4.tab	36_S1.tab	38_S2.tab	40_S2.tab	42_S3.tab	44_S3.tab	45_S1.tab	46_S4.tab	47_S4.tab	51_S2.tab	54_S4.tab	5_S1.tab	8_S2.tab
protein involved in formation of curli polymers	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protein kinase	0	0	0	3.00	0	3.00	2.00	1.00	1.00	3.00	0	2.00	0	4.00	1.00	0	1.00	4.00	0	3.00	0	0	0	0
protein kinase, partial	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0
protein ligF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
protein map	0	0	0	0	0	2.00	3.00	0	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protein map, partial	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protein meaA	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
protein ndvB	0	1.00	0	1.00	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
protein ninB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
protein ninD, partial	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0
protein ninG	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
protein nirF	0	0	0	0	0	2.00	1.00	0	0	0	0	0	0	4.00	0	1.00	0	0	0	0	0	0	0	0
protein phosphatase	1.00	0	0	0	0	5.00	3.00	2.00	0	0	0	0	3.00	1.00	0	2.00	0	2.00	0	1.00	0	0	1.00	0
protein phosphatase CheZ	0	0	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0
protein pucC	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
protein rep	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protein rep, partial	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.00	0	0	0
protein rexB	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0
protein rhsA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0
protein rhsB	0	0	1.00	6.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0
protein rlx	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protein rnfH	0	0	0	0	0	0	2.00	0	0	1.00	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0
protein serine/threonine phosphatase 2C family protein	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	1.00	0
protein sirB1	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protein smf	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protein sphX	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0
protein traI	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protein translocase component YidC	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protein translocase subunit SecA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.00	0	0	0	0	0	0
protein translocase subunit SecA 1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
protein translocase subunit SecD	4.00	5.00	2.00	0	0	2.00	18.00	0	2.00	5.00	0	1.00	1.00	7.00	1.00	9.00	0	12.00	0	2.00	0	0	4.00	0
protein translocase subunit SecDF	0	1.00	0	0	0	6.00	17.00	1.00	3.00	2.00	0	0	2.00	2.00	0	1.00	0	3.00	0	0	8.00	0	1.00	0
protein translocase subunit SecF	1.00	0	0	0	2.00	1.00	7.00	0	2.00	1.00	0	0	0	4.00	0	3.00	1.00	1.00	0	0	0	2.00	0	0
protein translocase subunit SecY	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protein transporter HofB	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protein tyrosine kinase	0	0	0	2.00	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0
protein tyrosine phosphatase	2.00	0	0	0	0	1.00	0	0	0	0	0	1.00	1.00	0	0	0	0	1.00	0	0	0	0	0	0
protein yibA	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protein, SNF2 family	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
protein, SNF2 family, partial	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protein-(glutamine-N5) methyltransferase, release factor-specific	2.00	0	0	2.00	0	3.00	11.00	0	3.00	2.00	1.00	0	1.00	2.00	0	2.00	1.00	6.00	0	1.00	4.00	0	0	0
protein-(glutamine-N5) methyltransferase, release factor-specific, partial	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0
protein-L-isoaspartate O-methyltransferase	3.00	0	0	0	2.00	5.00	10.00	0	1.00	4.00	0	0	0	4.00	0	7.00	0	10.00	0	0	0	4.00	0	2.00
protein-S-isoprenylcysteine methyltransferase	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protein-arginine deiminase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
protein-disulfide isomerase	0	0	0	0	0	0	1.00	0	0	2.00	0	0	0	2.00	0	0	0	1.00	0	0	0	0	0	0
protein-disulfide reductase	0	0	0	1.00	0	2.00	5.00	0	0	3.00	0	0	0	4.00	0	6.00	0	5.00	0	3.00	0	0	0	0
protein-disulfide reductase DsbD	0	0	0	1.00	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0
protein-export chaperone SecB	0	0	0	1.00	0	3.00	1.00	0	1.00	0	1.00	2.00	0	1.00	0	0	0	4.00	0	0	0	1.00	0	0
protein-export chaperone SecB, partial	0	0	0	0	2.00	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0
protein-export membrane protein SecF	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protein-serine/threonine phosphatase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
protein-tyrosine kinase	0	4.00	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protein-tyrosine-phosphatase	0	0	0	0	1.00	2.00	3.00	0	2.00	1.00	1.00	0	0	0	0	4.00	0	4.00	0	1.00	0	0	0	3.00
protocatechuate 3,4-dioxygenase	1.00	0	0	0	0	0	2.00	0	1.00	2.00	0	1.00	0	5.00	0	7.00	0	7.00	0	0	0	0	0	1.00
protocatechuate 3,4-dioxygenase subunit alpha	0	0	0	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	1.00	0	0	0	0	2.00	0
protocatechuate 3,4-dioxygenase subunit beta	0	0	0	0	0	2.00	4.00	0	0	6.00	1.00	1.00	0	1.00	0	1.00	0	7.00	0	0	0	0	0	4.00
protocatechuate 4,5-dioxygenase subunit alpha	0	0	0	0	0	1.00	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
protoheme IX farnesyltransferase	2.00	0	0	5.00	1.00	5.00	11.00	1.00	4.00	5.00	5.00	0	1.00	2.00	2.00	5.00	0	10.00	0	1.00	1.00	1.00	0	2.00
protoheme IX farnesyltransferase, partial	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0	0
proton-coupled thiamine transporter YuaJ	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
proton/sodium-glutamate symporter protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0
protoporphyrin IX magnesium chelatase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
protoporphyrinogen oxidase	0	0	0	1.00	0	2.00	2.00	2.00	1.00	0	0	0	0	0	0	0	0	0	0	1.00	2.00	1.00	0	0
protoporphyrinogen oxidase, partial	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00	0	0	0
pseudaminic acid cytidylyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
pseudaminic acid synthase	0	0	0	0	0	0	2.00	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0
pseudoazurin	1.00	0	0	0	0	0	3.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pseudopilin	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
pseudouridine kinase	0	0	2.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pseudouridine synthase	2.00	1.00	0	0	0	5.00	30.00	0	3.00	6.00	0	2.00	1.00	11.00	1.00	8.00	0	20.00	0	0	0	0	2.00	0
pseudouridine-5'-phosphate glycosidase	0	0	1.00	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0
pseudouridine-5-phosphate glycosidase	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	1.00	1.00
pseudouridylate synthase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
pteridine reductase	0	0	0	0	0	0	3.00	0	0	1.00	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0
pteridine-dependent deoxygenase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pterin-4-alpha-carbinolamine dehydratase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
pullulanase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pullulanase-type alpha-1,6-glucosidase	0	0	0	0	0	1.00	2.00	0	1.00	0	0	0	0	0	0	0	0	1.00	0	0	0	2.00	0	0
pur operon repressor	0	0	0	0	0	3.00	3.00	2.00	3.00	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0	2.00
purine nucleoside permease	0	1.00	0	0	0	0	0	0	0	0	1.00	0	1.00	0	0	1.00	0	2.00	0	0	0	0	0	0
purine permease	0	0	0	1.00	1.00	0	4.00	0	0	2.00	0	0	0	2.00	1.00	2.00	0	3.00	0	0	0	1.00	0	0
purine-nucleoside phosphorylase	0	0	1.00	1.00	3.00	0	3.00	0	1.00	1.00	0	0	0	0	0	1.00	0	0	0	0	1.00	0	0	3.00
purine-nucleoside phosphorylase, partial	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putative 2-aminoethylphosphonate ABC transporter substrate-binding protein	0	0	0	1.00	0	0	0	0	0	0	0	2.00	0	1.00	0	0	0	0	0	1.00	0	0	0	0
putative ABC-type transporter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
putative DNA modification/repair radical SAM protein	0	1.00	0	0	0	2.00	1.00	0	3.00	3.00	3.00	1.00	0	1.00	0	2.00	1.00	1.00	0	0	0	0	0	0
putative DNA modification/repair radical SAM protein, partial	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putative F420-0 ABC transporter substrate-binding protein	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0
putative Fe-S cluster assembly protein SufT	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putative GAF sensor protein	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putative NADH-quinone oxidoreductase, subunit M	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putative NADH:flavin oxidoreductase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putative Na+/H+ antiporter membrane protein	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putative O-glycosylation ligase, exosortase A system-associated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
putative ThiO:disulfide interchange protein	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putative TniB-like transposition protein	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putative TonB dependent receptor protein	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putative addiction module antidote protein	1.00	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0
putative adhesin	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putative carboxypeptidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
putative chemotaxis-like protein	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putative colanic acid polymerase WcaD	0	1.00	0	4.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0
putative common antigen polymerase, partial	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putative ferric reductase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0
putative fructokinase	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putative glycosyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
putative holin-like toxin	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putative lateral flagellar export/assembly protein LafU	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putative lipid II flippase FtsW	1.00	0	0	1.00	0	2.00	7.00	0	2.00	4.00	1.00	1.00	2.00	5.00	0	4.00	0	6.00	1.00	0	0	1.00	0	1.00
putative lipid II flippase FtsW, partial	0	0	0	0	0	1.00	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
putative lipopolysaccharide heptosyltransferase III	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putative metal transporter-like exported protein	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0	0	0
putative mobile element protein	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
putative motility protein	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
putative multicopper oxidase	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putative natural product biosynthesis protein	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0
putative oxidoreductase	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putative oxidoreductase; molybdoenzyme	0	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putative phage terminase, large subunit	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putative phosphoethanolamine transferase yhbX	0	0	1.00	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putative pilus assembly-related protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
putative porin	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putative potassium transport system protein kup	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
putative prophage repressor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
putative pyrimidine 5'-nucleotidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
putative resolvase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putative ribulosamine/erythrulosamine 3-kinase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0
putative selenate ABC transporter substrate-binding protein	0	0	0	0	1.00	0	2.00	0	1.00	0	0	0	0	1.00	0	2.00	0	3.00	0	0	0	0	0	1.00
putative selenate reductase subunit YgfK	0	3.00	0	1.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.00	1.00	0
putative selenoprotein	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0
putative sorbitol/mannitol ABC transporter, permease protein	0	0	0	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
putative sugar phosphatase of HAD superfamily	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putative terminase large subunit	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putative transcriptional regulator	0	0	0	0	0	1.00	3.00	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putative two-component-system connector protein AriR	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putative type 4 fimbrial biogenesis PilY1-related protein signal peptide	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0
putrescine ABC transporter ATP-binding protein	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putrescine ABC transporter permease PotH	1.00	0	0	0	0	1.00	1.00	0	1.00	0	0	0	0	1.00	0	1.00	0	0	0	0	1.00	3.00	0	0
putrescine ABC transporter permease PotI	0	0	0	0	0	0	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putrescine aminotransferase	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
putrescine-ornithine antiporter	0	0	0	0	0	2.00	0	0	0	0	0	1.00	1.00	1.00	0	0	0	2.00	0	0	0	0	0	0
putrescine/spermidine ABC transporter ATP-binding protein	0	1.00	0	0	3.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
putrescine/spermidine ABC transporter substrate-binding protein	2.00	2.00	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0
pyocin	0	0	0	0	0	0	1.00	0	0	1.00	0	1.00	1.00	0	2.00	0	0	1.00	0	2.00	0	0	0	0
pyocin R, lytic enzyme	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0
pyocin R2, holin	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	2.00	0	0	1.00	0	0	0	0	0	0
pyocin immunity protein, partial	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0
pyocin lytic enzyme	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0
pyoverdine sidechain peptide synthetase	0	0	0	0	0	0	0	0	2.00	2.00	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0
pyoverdine synthetase	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0
pyridine nucleotide transhydrogenase	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
pyridine nucleotide-disulfide oxidoreductase	5.00	2.00	1.00	2.00	0	9.00	20.00	2.00	6.00	13.00	0	3.00	3.00	9.00	1.00	4.00	0	10.00	0	1.00	2.00	1.00	1.00	1.00
pyridoxal 5'-phosphate synthase	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pyridoxal 5'-phosphate synthase glutaminase subunit PdxT	0	0	0	0	0	0	1.00	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
pyridoxal 5'-phosphate synthase lyase subunit PdxS	0	0	0	0	0	0	2.00	0	0	0	0	0	2.00	0	0	1.00	0	1.00	0	0	0	0	1.00	0
pyridoxal biosynthesis protein, partial	0	0	0	0	0	3.00	2.00	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
pyridoxal kinase	2.00	0	0	0	0	4.00	2.00	0	0	1.00	1.00	0	0	0	0	2.00	0	1.00	0	1.00	0	1.00	0	0
pyridoxal phosphate-dependent aminotransferase	10.00	1.00	0	2.00	2.00	11.00	18.00	0	5.00	8.00	0	2.00	3.00	17.00	1.00	13.00	0	25.00	1.00	3.00	1.00	3.00	1.00	4.00
pyridoxal phosphate-dependent aminotransferase, partial	0	0	0	2.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pyridoxal-5'-phosphate-dependent protein	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pyridoxal-5'-phosphate-dependent protein subunit beta	0	0	1.00	0	0	1.00	2.00	0	0	0	0	1.00	0	0	0	0	0	4.00	0	0	0	0	0	1.00
pyridoxal-5'-phosphate-dependent protein subunit beta, partial	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
pyridoxal-dependent decarboxylase domain protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0
pyridoxal-dependent decarboxylase, exosortase A system-associated	1.00	0	0	0	0	0	1.00	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0
pyridoxamine 5''-phosphate oxidase	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pyridoxamine 5'-phosphate oxidase	2.00	0	0	2.00	3.00	5.00	15.00	0	3.00	6.00	0	2.00	1.00	2.00	1.00	4.00	0	5.00	0	0	0	0	0	4.00
pyridoxamine 5'-phosphate oxidase family protein	0	0	0	0	0	2.00	1.00	0	0	0	0	0	0	1.00	0	1.00	0	2.00	0	0	0	0	0	0
pyridoxamine 5'-phosphate oxidase, partial	0	0	0	0	0	1.00	0	1.00	0	1.00	0	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0
pyridoxine 5'-phosphate synthase	0	1.00	0	3.00	0	2.00	6.00	1.00	1.00	3.00	5.00	3.00	0	4.00	0	3.00	1.00	8.00	0	0	0	0	0	0
pyridoxine 5'-phosphate synthase, partial	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pyrimidine 5'-nucleotidase	1.00	0	0	0	0	2.00	0	0	0	1.00	0	1.00	0	0	0	0	0	5.00	0	1.00	0	0	0	1.00
pyrimidine permease	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
pyrimidine reductase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pyrimidine utilization protein A	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0
pyrimidine utilization protein B	0	0	0	0	1.00	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
pyrimidine utilization protein C	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00
pyrimidine utilization protein D	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00
pyrimidine utilization regulatory protein R	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pyrimidine utilization transport protein G	0	3.00	0	0	1.00	0	2.00	0	0	0	0	1.00	0	1.00	0	0	0	2.00	0	0	0	0	0	0
pyrimidine-nucleoside phosphorylase	2.00	0	1.00	0	0	0	2.00	1.00	2.00	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0
pyrimidine-specific ribonucleoside hydrolase RihA	1.00	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0
pyroglutamyl-peptidase I	0	0	0	0	0	0	3.00	0	0	1.00	0	0	0	1.00	0	1.00	0	2.00	0	0	0	0	0	0
pyrophosphatase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
pyrophosphate--fructose-6-phosphate 1-phosphotransferase	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
pyrroline-5-carboxylate reductase	1.00	6.00	0	0	1.00	3.00	5.00	0	0	3.00	0	0	0	3.00	0	2.00	0	3.00	0	0	0	0	1.00	0
pyrrolo-quinoline quinone	2.00	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0
pyrroloquinoline quinone biosynthesis peptide chaperone PqqD	0	1.00	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0
pyrroloquinoline quinone biosynthesis protein B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0
pyrroloquinoline quinone biosynthesis protein C	0	0	0	0	0	0	1.00	0	0	0	0	1.00	0	0	0	0	0	0	0	1.00	0	0	0	0
pyrroloquinoline quinone biosynthesis protein PqqB	1.00	0	0	1.00	0	2.00	0	0	0	0	0	0	1.00	0	0	1.00	0	1.00	0	2.00	0	0	0	0
pyrroloquinoline quinone biosynthesis protein PqqC	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0	0	0
pyrroloquinoline quinone biosynthesis protein PqqE	0	0	0	0	0	2.00	2.00	0	0	1.00	1.00	0	1.00	1.00	0	3.00	0	2.00	0	3.00	0	0	0	0
pyrroloquinoline quinone biosynthesis protein PqqE, partial	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0
pyrroloquinoline quinone biosynthesis protein PqqF	0	0	0	1.00	0	1.00	0	0	0	6.00	1.00	1.00	0	0	0	1.00	0	3.00	2.00	0	0	1.00	0	0
pyrroloquinoline quinone-dependent dehydrogenase	0	4.00	0	0	0	1.00	0	0	0	1.00	0	3.00	1.00	2.00	0	1.00	0	2.00	0	1.00	0	0	0	0
pyrroloquinoline-quinone synthase	0	0	0	0	0	1.00	1.00	0	0	0	0	1.00	3.00	0	0	0	0	2.00	0	0	0	0	0	0
